,model,capital-common-countries,capital-world,currency,city-in-state,family,gram1-adjective-to-adverb,gram2-opposite,gram3-comparative
0,no_stops_cbow_True_window_2_size_100_noise_2_iters_10,0.017316017316017316,0.004850444624090542,0.0,0.014592622618565058,0.1783625730994152,0.0011494252873563218,0.0016666666666666668,0.024024024024024024
0,no_stops_cbow_False_window_2_size_100_noise_2_iters_10,0.03463203463203463,0.025869037995149554,0.0,0.017430077016619375,0.2631578947368421,0.005747126436781609,0.005,0.0915915915915916
0,no_stops_cbow_True_window_2_size_100_noise_2_iters_30,0.11904761904761904,0.054163298302344384,0.0,0.027969193352249695,0.2953216374269006,0.005747126436781609,0.02,0.17717717717717718
0,no_stops_cbow_False_window_2_size_100_noise_2_iters_30,0.12987012987012986,0.04042037186742118,0.0,0.017430077016619375,0.2982456140350877,0.010344827586206896,0.011666666666666667,0.16516516516516516
0,no_stops_cbow_True_window_2_size_100_noise_2_iters_100,0.1038961038961039,0.05254648342764753,0.0,0.029185245237130116,0.34502923976608185,0.010344827586206896,0.0033333333333333335,0.15465465465465467
0,no_stops_cbow_False_window_2_size_100_noise_2_iters_100,0.07792207792207792,0.037186742118027485,0.006578947368421052,0.026753141467369273,0.32456140350877194,0.004597701149425287,0.0,0.1006006006006006
0,no_stops_cbow_True_window_2_size_100_noise_5_iters_10,0.0367965367965368,0.018593371059013743,0.0,0.019862180786380218,0.30116959064327486,0.0011494252873563218,0.0016666666666666668,0.060810810810810814
0,no_stops_cbow_False_window_2_size_100_noise_5_iters_10,0.06493506493506493,0.047696038803556995,0.0,0.032428050263477906,0.26900584795321636,0.01264367816091954,0.005,0.09984984984984985
0,no_stops_cbow_True_window_2_size_100_noise_5_iters_30,0.18831168831168832,0.09054163298302344,0.0,0.032833400891771385,0.3567251461988304,0.014942528735632184,0.02,0.18768768768768768
0,no_stops_cbow_False_window_2_size_100_noise_5_iters_30,0.11904761904761904,0.06143896523848019,0.0,0.019862180786380218,0.2982456140350877,0.005747126436781609,0.008333333333333333,0.12087087087087087
0,no_stops_cbow_True_window_2_size_100_noise_5_iters_100,0.1645021645021645,0.07841552142279709,0.0,0.030401297122010538,0.3362573099415205,0.01954022988505747,0.005,0.1373873873873874
0,no_stops_cbow_False_window_2_size_100_noise_5_iters_100,0.08874458874458875,0.05982215036378335,0.0,0.015403323875152006,0.30409356725146197,0.0022988505747126436,0.0,0.07732732732732733
0,no_stops_cbow_True_window_2_size_100_noise_20_iters_10,0.05627705627705628,0.04931285367825384,0.0,0.026753141467369273,0.24561403508771928,0.0022988505747126436,0.0016666666666666668,0.06906906906906907
0,no_stops_cbow_False_window_2_size_100_noise_20_iters_10,0.12121212121212122,0.07599029911075182,0.0,0.039319010944466964,0.2894736842105263,0.01264367816091954,0.005,0.13288288288288289
