,model,capital-common-countries,capital-world,currency,city-in-state,family,gram1-adjective-to-adverb,gram2-opposite,gram3-comparative
0,with_stops_cbow_True_window_2_size_100_noise_2_iters_10,0.023809523809523808,0.009700889248181084,0.0,0.02553708958248885,0.3523809523809524,0.008602150537634409,0.018333333333333333,0.17342342342342343
0,with_stops_cbow_False_window_2_size_100_noise_2_iters_10,0.05627705627705628,0.041228779304769606,0.0,0.02432103769760843,0.3880952380952381,0.016129032258064516,0.013333333333333334,0.2672672672672673
0,with_stops_cbow_True_window_2_size_100_noise_2_iters_30,0.10173160173160173,0.060630557801131774,0.0,0.032428050263477906,0.44047619047619047,0.03225806451612903,0.03833333333333333,0.38288288288288286
0,with_stops_cbow_False_window_2_size_100_noise_2_iters_30,0.11688311688311688,0.0646725949878739,0.0,0.03161734900689096,0.4,0.023655913978494623,0.023333333333333334,0.2875375375375375
0,with_stops_cbow_True_window_2_size_100_noise_2_iters_100,0.09956709956709957,0.06709781729991916,0.0,0.040129712201053915,0.3976190476190476,0.026881720430107527,0.02,0.3213213213213213
0,with_stops_cbow_False_window_2_size_100_noise_2_iters_100,0.10606060606060606,0.060630557801131774,0.0,0.03607620591811917,0.4595238095238095,0.016129032258064516,0.006666666666666667,0.1816816816816817
0,with_stops_cbow_True_window_2_size_100_noise_5_iters_10,0.049783549783549784,0.028294260307194827,0.0,0.032022699635184435,0.44047619047619047,0.00967741935483871,0.015,0.2334834834834835
0,with_stops_cbow_False_window_2_size_100_noise_5_iters_10,0.09307359307359307,0.04284559417946645,0.0,0.02229428455614106,0.37857142857142856,0.026881720430107527,0.02,0.28378378378378377
0,with_stops_cbow_True_window_2_size_100_noise_5_iters_30,0.16883116883116883,0.08488278092158448,0.0,0.06769355492501013,0.5357142857142857,0.025806451612903226,0.04,0.3836336336336336
0,with_stops_cbow_False_window_2_size_100_noise_5_iters_30,0.1471861471861472,0.08084074373484236,0.0,0.059586542359140654,0.4595238095238095,0.017204301075268817,0.015,0.2575075075075075
0,with_stops_cbow_True_window_2_size_100_noise_5_iters_100,0.18614718614718614,0.09296685529506872,0.0,0.07620591811917309,0.47619047619047616,0.02043010752688172,0.013333333333333334,0.3063063063063063
0,with_stops_cbow_False_window_2_size_100_noise_5_iters_100,0.12987012987012986,0.07679870654810024,0.0,0.03810295905958654,0.43333333333333335,0.01935483870967742,0.008333333333333333,0.2087087087087087
0,with_stops_cbow_True_window_2_size_100_noise_20_iters_10,0.07575757575757576,0.05173807599029911,0.0,0.045804620997162544,0.38333333333333336,0.012903225806451613,0.018333333333333333,0.24924924924924924
0,with_stops_cbow_False_window_2_size_100_noise_20_iters_10,0.11688311688311688,0.06790622473726758,0.0,0.040129712201053915,0.4261904761904762,0.021505376344086023,0.03166666666666667,0.32882882882882886
0,with_stops_cbow_True_window_2_size_100_noise_20_iters_30,0.2554112554112554,0.13177041228779304,0.0056179775280898875,0.07498986623429266,0.4142857142857143,0.02903225806451613,0.03833333333333333,0.3430930930930931
0,with_stops_cbow_False_window_2_size_100_noise_20_iters_30,0.15800865800865802,0.0889248181083266,0.0,0.0697203080664775,0.44047619047619047,0.016129032258064516,0.011666666666666667,0.24474474474474475
0,with_stops_cbow_True_window_2_size_100_noise_20_iters_100,0.19913419913419914,0.11317704122877931,0.0,0.09728415079043372,0.4261904761904762,0.016129032258064516,0.015,0.283033033033033
0,with_stops_cbow_False_window_2_size_100_noise_20_iters_100,0.15367965367965367,0.07518189167340339,0.0,0.0806647750304013,0.4523809523809524,0.011827956989247311,0.0033333333333333335,0.1831831831831832
0,with_stops_cbow_True_window_2_size_300_noise_2_iters_10,0.025974025974025976,0.015359741309620048,0.0,0.020267531414673693,0.37857142857142856,0.0,0.008333333333333333,0.15765765765765766
0,with_stops_cbow_False_window_2_size_300_noise_2_iters_10,0.07142857142857142,0.03799514955537591,0.0,0.031211998378597488,0.3952380952380952,0.011827956989247311,0.005,0.26576576576576577
0,with_stops_cbow_True_window_2_size_300_noise_2_iters_30,0.10173160173160173,0.06548100242522231,0.0,0.022699635184434536,0.4595238095238095,0.034408602150537634,0.04833333333333333,0.4512012012012012
0,with_stops_cbow_False_window_2_size_300_noise_2_iters_30,0.08441558441558442,0.050121261115602264,0.0,0.017024726388325903,0.4095238095238095,0.016129032258064516,0.011666666666666667,0.28603603603603606
0,with_stops_cbow_True_window_2_size_300_noise_2_iters_100,0.1038961038961039,0.07599029911075182,0.0,0.03445480340494528,0.44047619047619047,0.016129032258064516,0.01,0.28603603603603606
0,with_stops_cbow_False_window_2_size_300_noise_2_iters_100,0.07575757575757576,0.06305578011317704,0.0,0.029185245237130116,0.40714285714285714,0.004301075268817204,0.0,0.12312312312312312
0,with_stops_cbow_True_window_2_size_300_noise_5_iters_10,0.06277056277056277,0.03152789005658852,0.0,0.033238751520064856,0.44285714285714284,0.00967741935483871,0.015,0.24474474474474475
0,with_stops_cbow_False_window_2_size_300_noise_5_iters_10,0.05627705627705628,0.04042037186742118,0.0,0.030806647750304013,0.4595238095238095,0.017204301075268817,0.03333333333333333,0.33183183183183185
0,with_stops_cbow_True_window_2_size_300_noise_5_iters_30,0.1277056277056277,0.0856911883589329,0.0,0.04377786785569518,0.4880952380952381,0.03333333333333333,0.051666666666666666,0.45570570570570573
0,with_stops_cbow_False_window_2_size_300_noise_5_iters_30,0.09090909090909091,0.05982215036378335,0.0,0.019862180786380218,0.4357142857142857,0.01935483870967742,0.0033333333333333335,0.24924924924924924
